date,value
20221130,780.0
20221201,764.0
20221202,768.0
20221203,765.714286
20221204,767.142857
20221205,795.0
20221206,744.444444
20221207,771.25
20221208,783.333333
20221209,730.0
20221210,797.5
20221211,784.0
20221212,792.0
20221213,788.333333
20221214,788.0
20221215,801.25
20221216,781.0
20221217,808.571429
20221218,782.5
20221219,777.5
20221220,774.444444
20221221,778.0
20221222,780.0
20221223,790.0
20221224,745.0
20221225,784.0
20221226,770.0
20221227,777.142857
20221228,775.714286
20221229,780.0
20221230,796.0
20221231,796.25
20230101,775.833333
20230102,785.0
20230103,780.0
20230104,752.5
20230105,768.0
20230106,791.428571
20230107,804.285714
20230108,767.5
20230109,786.0
20230110,800.0
20230111,795.625
20230112,790.0
20230113,780.0
20230114,792.0
20230115,790.0
20230116,794.285714
20230117,770.0
20230118,772.5
20230119,776.666667
20230120,798.333333
20230121,776.0
20230122,826.0
20230123,816.0
20230124,815.0
20230125,797.142857
20230126,765.0
20230127,762.0
20230128,736.0
20230129,737.142857
20230130,714.0
20230131,727.777778
20230201,701.0
20230202,688.333333
20230203,696.0
20230204,727.924528
20230205,743.333333
20230206,710.0
20230207,695.0
20230208,694.166667
20230209,688.888889
20230210,710.0
20230211,730.0
20230212,724.0
20230213,716.363636
20230214,692.285714
20230215,714.285714
20230216,745.0
20230217,724.444444
20230218,763.75
20230219,685.714286
20230220,735.555556
20230221,716.25
20230222,732.0
20230223,727.5
20230224,735.0
20230225,741.0
20230226,710.0
20230227,711.666667
20230228,737.5
20230301,722.0
20230302,723.333333
20230303,714.285714
20230304,723.333333
20230305,716.666667
20230306,720.0
20230307,731.666667
20230308,752.307692
20230309,733.333333
20230310,729.375
20230311,738.0
20230312,720.0
20230313,718.571429
20230314,700.0
20230315,720.0
20230316,690.0
20230317,690.0
20230318,708.75
20230319,707.777778
20230320,698.571429
20230321,694.285714
20230322,700.0
20230323,762.0
20230324,792.0
20230325,694.444444
20230326,690.0
20230327,665.0
20230328,666.666667
20230329,698.75
20230330,616.666667
20230331,668.571429
20230401,675.0
20230402,657.5
20230403,655.714286
20230404,640.0
